Page,Text
11,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 6   
2.2 Schwerpunktmodule  
In den Schwerpunktmodulen werden die Studierenden befähigt , umfangreichere 
eigenständige Softwareprojekte über einen längeren Zeitraum betreut zu entwickeln , 
um diese am Ende des Entwicklungszyklus einem qualifizierten Publikum (bestehend 
aus den Kommilito nInnen , den betreffenden Lehrstuhlleitenden  und deren 
wissenschaf tlichen Mitarbeiter Innen ) vorzustellen.  
Die Studierenden müssen (über die zwei Studienjahre verteilt) zwei Projekte aus 
unterschiedlichen , den beiden Schwerpunkten der Informationsverarbeitun g 
zugeordneten,  Anwendun gsbereichen durchführen. Dies gewährleistet eine fachlich 
breit abgesicherte Qualifikation im Bereich der geisteswissenschaftlichen 
Fachinformatik.  Digital Humanities adressiert.  
Aufbauend auf Modellierung werden fortgeschrittene Verfahren zur Verarbeitung von unterschiedlichen 
Date ntypen auf unterschiedlichen Plattformen diskutiert. Auf einer weiteren Ebene stehen die Fragen 
der Wissensrepräsentation und der Semantic Technologies und ihre Wechselbeziehungen zu neueren 
Systemen für Datenbearbeitung im Vordergrund. Die Visualisierung und visuelle Denken wird durch 
klassiche Bildverarbeitung kontextualisiert und mit der 3D -Programmierung, der Spielprogrammierung 
und mit virtual und augmented Reality -Systemen und mobile Computing verbunden.  
Ausgewählte Themengebiete der Vorlesung werden in der Übung durch praktische Projekte und 
Diskussionen bearbeitet.   
4 Lehr - und Lern formen  
Vorlesung, Übung  
5 Modulvoraussetzungen  
keine   
6 Form der Modulprüfung  
Schriftliche Prüfung:  Klausur (90 Minuten)  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung.  
8 Verwendung des Moduls (in anderen Studiengängen)  
Dieses Modul wird auch a) als Pflichtmodul im Verbundmasterstudiengang Medienwissenschaft, 
Wahlpflichtfach Medieninformatik u nd b) als Wahlpflichtmodul des MA Informatik angeboten.  
9 Stellenwert der Modulnote für die Fachn ote 
9/54 
10 Modulbeauftragte/r  
Professur für Historisch -Kulturwissenschaftliche Informationsverarbeitung  
11 Sonstige Informationen  
Schwerpunktmodul  1: Verarbeitung von Textdaten  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  "
12,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 7  4130BMFSM1  540 h 18 LP 1.-3. WiSe  2 Semester  
1 Lehrveranstaltungen  
a) Hauptseminar –Maschinelle 
Sprachverarbeitung (WiSe)  
b) Übung  – Implementation komplexer 
Systeme  
c) Kolloquium  – Probleme der Maschinellen 
Sprachverarbeitung (SoSe)  
d) Modulprüfung  (kombiniert)  Kontaktzeit  
30 h 
 
30 h 
 
30 h Selbststudium  
60 h 
 
60 h 
 
60 h 
270 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Im Modul werden formale Kenntnisse vertieft und dabei Kompetenzen im Bereich der 
textwissenschaftlich ausgerichteten Digital Humanities erworben:  
 Eine selbständige Programmierlösung zu einer gestellten Aufgabe aus dem Bereich der 
Prozessierung textueller Daten anzufertigen.  
 Diese Lösung innerhalb von Kleingruppen zu diskutieren und anschlussfähig zu halten.  
 Das angefertigte Werk geltenden Richtlinien folgend zu dokumentieren.  
 Die Arbeit gegenüber einem Fachpublikum vorzustellen und zu verteidigen.  
3 Inhalte des Moduls  
Dieses forschungsorientierte Modul beinhaltet die Interaktion von textorientierten, geistes - oder 
sozialwissenschaftlichen Fragestellungen und computerlinguistischen Umsetzungen. Aus diesem 
Spannungsverhältnis ergeben sich Dynamiken, di e sowohl das Anwendungsfeld als auch die 
anwendungsorientierte Informatik und Computerlinguistik befruchten. Daran schließt sich über die 
textwissenschaftliche Fundierung hinaus auch die wissenschaftstheoretisch fundierte Reflexion über 
die Möglichkeiten a lgorithmischer und computerlinguistischer Erkenntnis an. Der Mehrwert der 
computerlinguistischen Umsetzungen liegt im Einsatz informationstechnologischer Systeme zur 
Gewinnung und Sicherung wissenschaftlicher Erkenntnisse und daraus folgender praktischer 
Anwendungen. Informationstechnologische Systeme werden in diesem Zusammenhang verstärkt zur 
Analyse großer Datenmengen, für Simulationen und für die Interpretation quantitativer Ergebnisse 
eingesetzt.  
4 Lehr - und Lern formen  
Seminar , Übung , Kolloquium  
5 Modulvoraussetzungen  
Keine 
6 Form der Modulprüfung  
Kombinierte Prüfung : Ausarbeitung einer Softwarelösung inkl. Dokumentation mit begleitender und 
abschließender Präsentation.  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung.  
8 Verwendung des Moduls (in anderen Studiengängen)  
Teile des Moduls werden auch in den Masterstudiengängen Linguistik – Computerlinguistik und 
Informatik angeboten.  "
13,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 8   9 Stellenwert der Modulnote für die Fachn ote 
18/54  
10 Modulbeauftragte/r  
Professur für Sprachliche Informationsverarbeitung  
11 Sonstige Informationen  
Schwerpunktmodul  2: Verarbeitung mehrdimensionaler Daten  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  
4130BMXSM2  540 h  18 LP  1-3 WiSe  2 Semester  
1 Lehrveranstaltungen  
a) Hauptseminar  - Digital Humanities und 
Informatik der Geisteswissenschaften  (WiSe ) 
b) Übung  - Anwendungstechnologien  
c) Kolloquium  - Aktuelle Literatur zu den 
Digital Humanities  (SoSe ) 
d) Modulprüfung  (kombiniert)  Kontaktzeit  
30 h 
30 h 
30 h Selbststudium  
60 h 
60 h 
60 h 
270 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Im Modul werden formale Kenntnisse vertieft und dabei Kompetenzen im Bereich der 
objektwissenschaftlich ausgerichteten Digital Humanities erworben:  
 eine selbständige Programmierlösung zu einer gestellten Aufgabe aus dem Bereich der 
Prozessierung  mehrdimensionaler Daten anzufertigen , 
 diese innerhalb von Kleingruppen zu diskutieren und anschlussfähig zu halten , 
 das angefertigte Werk geltenden Richtlinien folgend zu dokumentieren , 
 ihre Arbeit gegenüber einem Fachpublikum vorzustellen und zu verteidi gen. 
3 Inhalte des Moduls  
Dieses Modul führt an einem ausgedehnten Beispiel in die Formalisierung von Fragestellungen einer 
inhaltlichen Disziplin und die Umsetzung dieser Formalisierung in eine anwendungsreife Lösung ein. 
Das Gewicht liegt dabei auf dem  Prozess der Formalisierung; für den Nachweis der Anwendungsreife 
können daher sowohl eigene Softwaremodule als auch Anwendungssysteme herangezogen werden.  
Das Modul behandelt mit wechselnden Schwerpunkten sowohl allgemeine methodische Teilgebiete – 
etwa d ie unscharfe Logik / unscharfe Programmierung, die Theorie von Markup - oder me hrschichtigen 
Annotationssystemen, Konzepte der Gamification – als auch konkrete Technologien wie noSQL 
Datenbanken, Game Engines und mobiledevices.  
Das Kolloquium gibt einen Über blick über ein allgemeines Konzept, das sich zur Umsetzung 
fachspezifischer Fragestellungen eignet.  
Im Hauptseminar werden die Teilnehmer Innen zunächst durch Kurzreferate in die Probleme einer der 
geisteswissenschaftlichen Disziplinen eingeführt, auf die die allgemeinen Konzepte angewendet 
werden können. In einem weiteren Kurzreferat wird die Anwendbarkeit eines derartigen Konzepts auf 
die herausgearbeiteten Fragestellungen behandelt. Schließlich wird an einem abgegrenzten Problem "
14,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 9   
2.3 Ergänzungsmodule   
Die Ergänzungsmodule decken ein weites Spektrum an Fachbereichen ab. Sie dienen 
den Studierenden sowohl dazu, sich hinsichtlich der im Studiengang erworbenen 
Kompetenzen breiter aufzustellen, wie auch, sich in selbst ausgewählten Gebieten 
weiter zu spezialisieren . Die Ergänzungsmodule können prinzipiell frei kombiniert 
werden. Sie dienen zwei gegenläufigen Zwecken: Einerseits soll erreicht werden, dass 
die Studierenden ihren Blick über die in den Schwerpunktmodulen intensiv 
bearbeiteten Themen hinaus  richten; andererseits sollen die Studierenden bei der 
Vorbereitung ihres Themas für die Masterarbeit unterstützt werden. Dazu findet zu 
Studienbeginn – und im Rahmen der Hauptseminare der beiden Schwerpunktmodule 
– eine intensive persönliche Beratung stat t. 
Ist die Zulassung zum Artes Research Master erfolgt, werden die dort erwarteten 
allgemeinen methodischen Veranstaltungen an Stelle eines der drei 
Ergänzungsmodule angerechnet.  die praktische Umsetzung,  in der Regel unter Heranziehung eines geeigneten Anwendungssystems, 
demonstriert.  
Die Übung führt, je nach gewähltem Technologiebereich, in die praktische Handhabung notwendiger 
Verfahren oder Tools ein. Dies schließt die Implementation geeigneter Kompone nten ein.  
4 Lehr - und Lern formen  
Seminar , Übung , Kolloquium  
5 Modulvoraussetzungen  
Keine  
6 Form der Modulprüfung  
Kombinierte  Prüfung : Ausarbeitung einer Softwarelösung inkl. Dokumentation mit begleitender und 
abschließender Präsentation.  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung.  
8 Verwendung des Moduls (in anderen Studiengängen)  
Dieses Modul wird auch im Verbundm asters tudiengang Medienwissenschaft, Wahlpflichtfach 
Medieninformatik  sowie im MSc Informatik  angeboten.  
9 Stellenwert der Modulnote für die Fachn ote 
18/54  
10 Modulbeauftragte/r  
Professur für Historisch -Kulturwissenschaftliche Informationsverarbeitung  
11 Sonstige Informationen  
Ergänzungsmodul  1: Künstliche Intelligenz  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  "
15,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 10   4130BMFEM1 360 h  12 LP  1.-3. WiSe  1 Semester  
1 Lehrveranstaltungen  
a) Proseminar  Künstliche Intelligenz I  
b) Proseminar  Künstliche Intelligenz II  
c) Übung  Anwendungen von KI -Konzepten  
d) Modulprüfung  (Mündlich: Referat ) Kontaktzeit  
30 h 
30 h 
30 h Selbststudium  
60 h 
60 h 
60 h 
90 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Die Studierenden erlangen einen Überblick über aktuelle Techniken und Algorithmen aus dem Bereich 
der Künstlichen Intelligenz (KI), wodurch sie die Befähigung erwerben, aktuelle Ansätze und 
Forschungsfragestellungen im Bereich der maschinellen Sprachverarb eitung im übergeordneten 
Forschungsfeld der KI einzuordnen. Die Teilnehmer Innen  entwerfen unter Anleitung ein kleineres 
Programmierprojekt und setzen dieses in Gruppenarbeit um. Dadurch werden organisatorische 
Fähigkeiten (Planung, Strukturierung) und die wissenschaftl iche Zusammenarbeit in Teams geübt.  
3 Inhalte des Moduls  
Das Modul bietet eine Einführung in Entwicklung, Probleme und grundlegende Verfahren der KI. Der 
erste Teil des Seminars gibt eine Einführung in den Gegenstand und die Geschichte der K I, vermittelt 
die Grundlagen der Wissensrepräsentation und führt in die deklarative Programmiersprache Prolog ein. 
Im zweiten Teil werden die grundlegenden Techniken der KI (u.a. Problemlösung, Heuristik, 
Sprachverarbeitung, Neurocomputing) behandelt und i n Referaten der Teilnehmer Innen  vertieft.  
4 Lehr - und Lern formen  
Semina r, Übung  
5 Modulvoraussetzungen  
Keine  
6 Form der Modulprüfung  
 Mündliche Prüfung: Referat (30 Min) mit Thesenpapier  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen ; Bestehen der Modulprüfung.  
8 Verwendung des Moduls (in anderen Studiengängen)  
Das Modul wird auch im Masters tudiengang  Linguistik angeboten.  
9 Stellenwert der Modulnote für die Fachn ote 
Die Modulnote geht nicht in die Fachnote ein.  
10 Modulbeauftragte/r  
Professur für Sprachliche Informationsverarbeitung  
11 Sonstige Informationen  
Ergänzungsmodul 2: Digital Humanities  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  "
16,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 11  4130BMFE 2a 360 h 12 LP  1.-3. WiSe  2 Semester  
1 Lehrveranstaltungen  
a) Kolloquium - Der aktuelle Stand der Digital 
Humanities  (WiSe)  
b) Übung -Probleme der Digital Humanities  
(WiSe)  
c) Übung  - Techniken der Digital Humanities  
(SoSe)  
d) Modulprüfung  (Mündlich: Referat ) Kontaktzeit  
30 h 
 
30 h 
 
30 h Selbststudium  
60 h 
 
60 h 
 
60 h 
90 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Die Studierenden gewinnen  einen umfassenden Überblick über den internationalen Forschungsbereich 
der „Digital Humanities “ (DH). Sie erwerben damit die Befähigung, aktuelle Fragestellungen , Probleme 
und Entwicklungen sowohl aus den traditionellen Geisteswissenschaften in ihrer dig italen 
Transformation als auch aus den DH als eigener Disziplin zu identifizieren und in den übe rgeordneten 
Kontext einzuordnen. Über eigene kleinere exemplarische Projekte lernen sie außerdem, bestehende 
Ansätze zu evaluieren, neue Ansätze zu entwickeln, geeignete Datenstrukturen zu modellieren und 
mögliche Lösungen zu operationalisieren und zu form alisieren. Dadurch w ird der ganze Arbeitsprozess 
eines „Digital Humanist“ von der Problemstellung bis hin zur Beantwortung von Forschungsfragen 
simuliert und entsprechende  organisatorische (Planung, Strukturierung , Teamarbeit ), operative 
(Recherche, Evaluation, Anwendung), konzeptionelle  (Modellierung) und technische (Formalisierung) 
Fähigkeiten eingeübt und die Anschlussfähigkeit der eigenen Arbeiten an das globale Forschungsfeld 
der DH sichergestellt . 
3 Inhalte des Moduls  
Das Modul bietet eine Ein führung in Entwicklung, aktuelle Probleme und bestehende Praktiken der 
Digital Humanities. Das Kolloquium  gibt eine Einführung in den Gegenstand, die Geschichte und 
aktuelle Probleme der DH als Transformator der bestehenden geisteswissenschaftlichen Diszip linen 
und als eigenständiger, stark internati onal ausgerichteter Disziplin. Die Übungen greifen einzelne 
Schwerpunktbereiche der DH (wie sie von einzelnen Gegenständen, Themen oder 
Fachwissenschaften aufgeworfen werden) auf und gehen von der Bestandsaufnah me über die 
konzeptionelle Durchdringung zur Entwicklung eigener Lösungsansätze über. Diese werden in den 
Übung en praktisch umgesetzt.  
4 Lehr - und Lern formen  
Kolloquium , Übun g 
5 Modulvoraussetzungen  
Keine  
6 Form der Modulprüfung  
Mündliche Prüfung: Referat (30 Min.),  Präsentation und Verteidigung der Lösung eines Digital 
Humanities Projekts, sowohl auf der konzeptuellen, als auch auf der praktischen Ebene.  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Dokum entation der eigenen / teamorientierten konzeptionellen und 
praktischen Arbeiten , Bestehen der Modulprüfung  
8 Verwendung des Moduls (in anderen Studiengängen)  
- "
17,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 12   9 Stellenwert der Modulnote für die Fachn ote 
Die Modulnote geht nicht in die Fachnote ein.  
10 Modulbeauftragte/r  
Juniorprofessur für Digital Humanities (CCeH)  
11 Sonstige Informationen  
Ergänzungsmodul  3: Visuelle Programmierung  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  
4130BMFEM3  360 h  12 LP  1.-3. WiSe  2 Semester  
1 Lehrveranstaltungen  
a) Vorlesung  I im WS : „Computergraphik und 
Visualisierung I“  
b) Vorlesung II im SS : „Computergraphik und 
Visualisierung II“  
c) Übung  I im WS : „Übungen zu 
Computergraphik und Visualisierung I“  
d) Übung II im SS : „Übungen zu 
Computergraphik und Visualisierung II“  
d) Modulprüfung  (Schriftlich: Klausur)  Kontaktzeit  
30 h 
30 h 
15 h 
15h Selbststudium  
60 h 
60 h 
30 h 
30 h 
90 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Die Absolvent Innen  sind in der Lage, Probleme  mittlerer Komplexität in der visuellen Programmierung 
selbständig zu formalisieren und entsprechende Softwaremodule zu entwerfen.  
3 Inhalte des Moduls  
Die Vorlesung ""Computergraphik und Visualisierung"" wird in 2 konsekutiven  Semestern jeweils durch 
eine einstündige Übung ergänzt.  
Teil I befasst sich mit (3D -)Computergrafik und Mensch -Maschine -Kommunikation. Die Vorlesung 
betrachtet Aspekte menschlicher Wahrnehmung und führt grafische Ausgabegeräte und Farbsysteme 
ein. Aufbauend auf rasterbasierter 2D -Grafik werden Interaktionstechniken und grafische 
Benutzeroberflächen erläutert . Mit der 3D -Computergraf ik werden Objekte, Projektionen, 
Verdeckungen, Beleuchtung sowie Szenengraphen eingeführt.  
Teil II führt den Begriff Visualisierung ein, de r in Informatio nsvisualisierung  und Visualisierung 
wissenschaftlicher Daten gegliedert wird. Ausgehend von der Visualisierungspipeline sowie 
wissenschaftlicher Datentypen wird die Filterung bzw. Rekonstruktion von Daten behandelt, die 
Abbildung von Daten auf visuelle Rep räsentati onen als zentrales Konzept ein führt und an konkreten 
Algorithmen aus geführt. Volumen -Rendering als alternative Methode und virtuelle Realität werden 
ergänzend betrachtet.  
4 Lehr - und Lern formen  
Vorlesung, Übung  
5 Modulvoraussetzungen  "
18,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 13   keine  
6 Form der Modulprüfung  
Schriftliche Prüfung: Klausur  (180 Min)  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung . 
8 Verwendung des Moduls (in anderen Studiengängen)  
Dieses Modul wird auch im Verbundm asters tudiengang Medienwissenschaft, W ahlpflichtfach 
Medieninformatik  angeboten.  
9 Stellenwert der Modulnote für die Fachn ote 
Die Modulnote geht nicht in die Fachnote ein.  
10 Modulbeauftragte/r  
Professur für Informatik  
11 Sonstige Informationen  
Ergänzungsmodul  4: Informatik I  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  
5751BMFEM4  360 h  12 LP  1.-3. WiSe  2 Semester  
1 Lehrveranstaltungen  
a) Vorlesung  
b) Übung  
c) Modulprüfung  (Schriftlich: Klausur)  Kontaktzeit  
60 h 
30 h 
 Selbststudium  
120 h 
60 h 
90 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Die Studierenden können grundlegende Algorithmen konzipieren und evaluieren sowie diese in Hinblick 
auf Korrektheit und Laufzeitverhalten in Abhängigkeit von Datenstrukturen analysieren.  
3 Inhalte des Moduls  
Die Vorlesung wendet sich an Studierende der Mathematik, Wirtschaftsmathematik, 
Naturwissenschaften, Wirtschaftsinformatik, Medieninformatik, Linguistik und anderer Fächer aus der 
Philosophischen Fakultät mit Anforderungen an Strukturwissen mit algorithmis chem Bezug. Nach einer 
Einführung in die Informatik sowie den Aufbau und die Funktionsweise von Computern liegt der 
Schwerpunkt im Bereich der Algorithmen und Datenstrukturen. Dies umfasst den Entwurf von 
Algorithmen und Datenstrukturen und deren Analyse i n Bezug auf Korrektheit sowie Zeit - und 
Speicherplatzbedarf. Die eingeführten Datenstrukturen umfassen Listen, Stapel, Schlangen, Haufen 
und (balancierte) Bäume. Schwerpunkte der Vorlesung liegen in Sortier - und Suchverfahren, der 
effizienten Manipulation endlicher Mengensysteme sowie einfachen Graphenalgorithmen wie der 
Berechnung minimaler aufspannender Bäume und  kürzester Wege in Straßennetzen , wie sie etwa in 
der mobilen Navigation benutzt werden.  
4 Lehr - und Lern formen  
Vorlesung , Übung  "
19,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 14   5 Modulvoraussetzungen  
Keine 
6 Form der Modulprüfung  
Schriftliche Prüfung: Klausur (180 Minuten)  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung . 
8 Verwendung des Moduls (in anderen Studiengängen)  
Das Modul wird auch in den  Bachelorstudiengängen Wirtschaftsi nformatik , Wirtschaftsmathematik 
und Mathematik  angeboten.  
9 Stellenwert der Modulnote für die Fachn ote 
Die Modulnote geht nicht in die Fachnote ein.  
10 Modulbeauftragte/r  
Professur für Informatik  
11 Sonstige Informationen  
Ergänzungsmodul  5: Archäoinformatik  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  
4436BMFEM5  360 h  12 LP  1.-3. WiSe  2 Semester  
1 Lehrveranstaltungen  
a) Proseminar  
b) Proseminar  
c) Übung  
d) Modulprüfung  (schriftlich)  Kontaktzeit  
30 h 
30 h 
30 h Selbststudium  
60 h 
60 h 
60 h 
90 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Die Absolvent Innen  sind in der Lage, Probleme der Verwaltung archäologischer Daten und ihrer 
Analyse durch den Entwurf und die Implementation geeigneter Informationssysteme zu lösen.  
3 Inhalte des Moduls  
Das Modul  vermittelt mit wechselnden Schwerpunkten die Archäoinformatik in ihrer ganzen Breite. 
Diese Schwerpunkte liegen in de r Verwaltung multimedialer Daten in komplexen Datenbanken, der 
Dokumentation komplexer Befunde in geographischen Informationssystemen und ihre r Analyse  in 
diesen Informationssystemen  sowie der  Handhabung von 3D Modellen zur Darstellung und Analyse 
von Grab ungsbefunden und der archäologischen Rekonstruktion. Besonderes Gewicht wird dabei auf 
die Möglichkeiten zur Verbindung mehrerer der hier angespro chenen Basistechnologien gelegt . 
4 Lehr - und Lern formen  
Seminar , Übung  
5 Modulvoraussetzungen  "
20,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 15   Keine  
6 Form der Modulprüfung  
Schriftliche Prüfung: Hausarbeit  (18.000  Zeichen ) 
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung  
8 Verwendung des Moduls (in anderen Studiengängen)  
Das Modul wird auch im M asters tudiengang  Archäologie  angeboten.  
9 Stellenwert der Modulnote für die Fachn ote 
Die Modulnote geht nicht in die Fachnote ein.  
10 Modulbeauftragte/r  
Professur für Archäoinformatik  
11 Sonstige Informationen  
Ergänzungsmodul  6: Empirische Methoden  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  
4554TM XAM1  360 12 LP 1.-3. Sem.  WiSe/SoSe  1-2 Semester  
1 Lehrveranstaltungen  
Es werden wahlweise 3 Veranstaltungen aus 
a – d besucht  
ODER  
Eine Veranstaltung aus a – c und e.  
a) Vorlesung Empirische Methoden  
b) Seminar Empirische Methoden 1  
c) Seminar Empirische Methoden 2  
d) Projekt  Empirische Methoden A  
 
e) Projekt  Empirische Methoden B  
 
f) Modulprüfung (schriftlich)  Kontaktzeit  
 
 
 
 
30 h 
30 h 
30 h 
30 h 
 
60 h Selbststudium  
 
 
 
 
60 h 
60 h 
60 h 
60 h 
 
120 h  
 
90 h  
2 Ziele des Moduls und zu erwerbende Kompetenzen  
Das Modul dient der Vertiefung und Ausweitung der Kenntnisse der empirischen Grundlagen der 
Linguistik, wobei insbesondere methodische Aspekte im Fokus stehen. Die Studierenden erhalten eine 
systematische Übersicht über die die gegenwärtige Linguistik kennzeichnende Methodenvielfalt und 
können diese theoretisch einordnen. Sie erhalten des Weiteren die Gelegenheit, linguistische 
Datenerheb ung in mindestens einer der drei methodischen Hauptvarianten (Sprecher Innen befragung, 
Experiment, Korpuserstellung und -auswertung) praktisch zu erproben.  "
21,"MODULHANDBUCH  - INFORMATIONSVERARBEITUNG  - EIN-FACH -MASTER OF ARTS  
 
 16   3 Inhalte des Moduls  
Linguistik als empirische Disziplin: Welche Evidenzformen gibt es, welche Evide nz ist für welche 
Fragestellungen besonders relevant? Welche kognitiven, sozialen und situativen Faktorenbeeinflussen 
sprachliches Verhalten und sind bei der Erhebung von linguistischen Daten in Rechnung zu stellen?  
Die wichtigsten Erhebungsmethoden: Sprecher Innen befragung, linguistische Experimente , 
Korpuserstellung und -annotation (Schriftsprache, Spontansprache (Audio/Video), historische Korpora, 
Lexika).  
Die wichtigsten Aufbereitungs - und Auswertungsverfahren: statistische Verfahren, Datenbanken, 
(computergestützte) Auszeichnung (Annotation), qualitative Analysen.  
4 Lehr - und Lernformen  
Die Vorlesung bietet einen systematischen Überblick über aktuelle Methoden und deren Vor - und 
Nachteile und ordnet die gegenwärtig praktizierten Methoden historisch ein. In den Seminaren werden 
der theoretische Hintergrund und die Leistungsfähigkeit versch iedener Methoden auf der Grundlage 
einschlägiger Artikel kritisch reflektiert. Des Weiteren werden bestehende Datensammlungen (Korpora, 
Datenbanken) vorgestellt und das praktische Arbeiten damit geübt. Projekte  dienen der praktischen 
Erprobung von Datenerh ebungsmethoden (z.  B. Mitarbeit bei der Durchführung eines Experiments, 
Datenextraktion aus Korpora, Feldforschung, Statistikkurs). Neben Lektüre werden für die Erbringung 
von Studienleistungen  kurze Referate, Moderation der Seminardiskussion, Teilnahme an  einer 
Gruppenarbeit und/oder Berichte erwartet.  
5 Modulvoraussetzungen  
Keine  
6 Form der Modulprüfung  
Schriftliche Prüfung: Hausarbeit ( 18.000 Zeichen ), die entweder im Anschluss an eine Übung die 
Ergebnisse der Datenerhebung zusammenfasst oder eine datenbezogene Fragestellung aus einem 
Seminar behandelt.  
7 Voraussetzungen für die Vergabe von Leistungspunkten  
Erbringung von Studienleistungen , Bestehen der Modulprüfung  
8 Verwendung des Moduls (in anderen Studiengängen)  
Wahlp flichtmodul; das Modul wir d auch im Zwei -Fach -Master studium  Linguistik und Phonetik 
angeboten.  
9 Stellenwert der Modulnote für die Fachnote  
Die Modulnote geht nicht in die Fachnote ein.  
10 Modulbeauftragte/r  
Professur für Phonetik  
11 Sonstige Informationen  
Ergänzungsmodul  7: Forschungspraktikum  
Kennnummer  Workload  Leistungs -
punkte  Studien -
semester  Häufigkeit des 
Angebots  Dauer  
4130BMFEM7  360 h  12 LP  1.-3. WiSe/SoSe  1 Semester  "
